	down_genes_DE_promoter	up_genes_DE_promoter
	down_genes_DE_promoter	up_genes_DE_promoter
UP00144_1_Hoxb4_2627.1	0.999999999983	0.999944480869
MA0028.1.ELK1	3.53856366455e-20	1.23718324835e-08
UP00129_1_Pou3f1_3819.1	1.0	0.999994574353
MA0025.1.NFIL3	0.999935862734	0.998442377499
MA0494.1.Nr1h3::Rxra	0.628161072261	0.746997937203
UP00214_1_Hoxb5_3122.2	0.999999207464	0.998713351811
UP00055_1_Hbp1_primary	0.999985329566	0.998977891686
UP00095_1_Zfp691_primary	0.170631022202	0.093032294239
MA0503.1.Nkx2-5.var.2	0.298520241556	0.701820992676
UP00119_1_Nkx2-9_3082.1	0.967333374919	0.92252066371
UP00255_1_Dbx1_3486.1	0.99999999999	0.999999764222
MA0484.1.HNF4G	0.0788325355973	0.0432665712185
UP00133_1_Cdx2_4272.1	0.999999999939	0.999998636187
UP00141_1_Vsx1_1728.1	0.999999999354	0.996846320286
UP00094_1_Zfp128_primary	0.0786830617218	0.581580520691
UP00180_1_Hoxd13_2356.1	0.999999999812	0.999869290776
MA0157.1.FOXO3	0.999979257541	0.85705660811
MA0116.1.Zfp423	9.88934899809e-05	3.06182399713e-07
MA0057.1.MZF1_5-13	4.08657631805e-10	3.5759475541e-08
UP00199_1_Six4_2860.1	0.36229049778	0.5
MA0505.1.Nr5a2	0.0211151628124	0.0955270816623
MA0131.1.HINFP	3.75954055888e-07	0.0288445684556
MA0158.1.HOXA5	0.999820182559	0.997232446282
MA0143.3.Sox2	0.555888902335	0.00969998096061
UP00044_1_Mafk_primary	0.999999954912	0.998055921928
MA0524.1.TFAP2C	2.51125444249e-16	3.82564242344e-15
UP00202_1_Dlx1_1741.2	0.999999273318	0.999926674459
UP00065_1_Zfp161_primary	4.57954911206e-37	1.9108233003e-17
UP00219_1_Cutl1_3494.1	0.917378039737	0.917584724792
UP00059_1_Arid5a_primary	0.999999901196	0.999999999955
MA0486.1.HSF1	0.602842211505	0.224263810598
MA0462.1.BATF::JUN	0.998968635522	0.828334420137
UP00005_1_Tcfap2a_primary	6.32891222798e-13	7.87071581182e-11
UP00239_1_Obox2_3438.2	0.996725808573	0.998774093734
MA0113.2.NR3C1	0.705124976695	0.915172138904
MA0017.1.NR2F1	0.319603467344	0.223545247146
UP00247_1_Pax4_3989.2	0.999999797506	0.984358451039
MA0145.2.Tcfcp2l1	0.000402140810969	3.02560883599e-05
MA0517.1.STAT2::STAT1	0.854973474664	0.831416672761
UP00231_1_Nkx2-2_2823.1	0.999958743827	0.97653809733
UP00266_1_Prrx1_3442.1	0.999999758057	0.999612911807
UP00151_1_Barx2_3447.2	0.999955569176	0.997999063666
MA0504.1.NR2C2	5.2892987741e-16	3.12948343208e-08
UP00236_1_Irx2_0900.3	1.0	0.999786218182
UP00026_1_Zscan4_primary	0.850688050305	0.966638564532
MA0591.1.Bach1::Mafk	0.0343058576731	0.367818571691
MA0109.1.Hltf	0.999314951036	0.944308117508
UP00172_1_Prop1_3949.1	0.999999999994	0.989008336253
UP00011_1_Irf6_primary	0.0574167965702	0.148816190992
UP00126_1_Dlx2_2273.2	0.999962737218	0.999858381847
MA0515.1.Sox6	0.985712424361	0.993643866418
MA0052.2.MEF2A	0.999921917173	0.999999095157
UP00156_1_Msx2_3449.1	0.938384502584	0.999468770929
UP00043_1_Bcl6b_primary	0.995016677523	0.775028313406
MA0493.1.Klf1	5.05765253504e-32	7.72588018331e-11
MA0488.1.JUN	0.998945200877	0.843779493777
UP00224_1_Pax6_3838.3	0.999999999969	0.999999813966
MA0102.3.CEBPA	0.999949015973	0.722518553279
MA0069.1.Pax6	0.990607350568	0.892275249779
MA0497.1.MEF2C	0.999999975512	0.999999376093
UP00045_1_Mafb_primary	0.999910188743	0.937392321987
MA0471.1.E2F6	5.23974545633e-36	3.4409293514e-18
UP00262_1_Lhx1_2240.2	0.999999999743	0.999997187657
UP00217_1_Hoxa10_2318.1	1.0	0.999999905779
MA0155.1.INSM1	1.5803373669e-13	5.29313214349e-13
UP00108_1_Alx3_3418.2	0.999999996068	0.999363062876
UP00002_1_Sp4_primary	3.41275436894e-84	2.52229083858e-38
MA0071.1.RORA_1	0.998134254805	0.691302625776
UP00102_1_Zic1_primary	5.1949411459e-30	2.06232813201e-14
UP00165_1_Titf1_1722.2	0.999987091063	0.895993948934
MA0060.2.NFYA	2.89345294595e-11	0.000324290786902
MA0477.1.FOSL1	0.771607434714	0.291657141666
MA0079.3.SP1	3.88070081904e-69	5.45525392555e-25
UP00009_1_Nr2f2_primary	0.924050606282	0.272918322033
MA0463.1.Bcl6	0.571285300593	0.393740470913
MA0046.1.HNF1A	0.999992132003	0.999733607108
UP00178_1_Og2x_3719.1	0.999956743756	0.814808086091
MA0141.2.Esrrb	0.727174195565	0.259812613081
MA0058.2.MAX	0.986995285234	0.950711227225
UP00058_1_Tcf3_primary	0.999999854363	0.995920020385
UP00076_1_Rfxdc2_primary	0.0578455096779	0.0752057985806
UP00021_1_Zfp281_primary	3.80529496052e-45	2.78189582548e-20
MA0081.1.SPIB	0.00460512018054	0.00133825819886
UP00216_1_Obox1_3970.2	0.998683758778	0.995014944289
MA0047.2.Foxa2	0.999888490933	0.83917921306
UP00138_1_Bsx_3483.2	0.999983156504	0.998640259901
UP00197_1_Hoxc9_2367.2	0.999998930121	0.999828712315
UP00408_1_Gabpa_primary	2.53169506565e-06	0.00350283613689
UP00113_1_Hoxc4_3491.1	0.999999994269	0.999295980952
UP00086_1_Irf3_primary	0.793254071201	0.853364429019
UP00053_1_Rxra_primary	0.0178376349572	0.693707329716
UP00220_1_Nkx1-1_3856.3	0.00587433321002	0.265071654149
UP00136_1_Prrx2_3072.1	0.999997313229	0.998015497016
UP00265_1_Pitx3_3497.2	0.0639765079654	0.419606725875
MA0124.1.NKX3-1	0.999997964576	0.998728994419
UP00109_1_Obox6_3440.2	0.999997628744	0.999929678008
UP00001_1_E2F2_primary	3.27232677317e-33	1.1690262776e-10
MA0481.1.FOXP1	0.981852741883	0.999999772476
UP00008_1_Six6_primary	0.998340318327	0.999994884359
UP00225_1_Hlx1_2350.1	1.0	0.999985921678
UP00087_1_Tcfap2c_primary	7.72395549628e-16	6.61775275592e-12
UP00193_1_Rhox11_1765.2	0.877690604275	0.981862642016
