	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
UP00100_1_Gata6_primary	0.999999999998	0.991508549878	1.0	0.999999999981	0.999999999961	0.999773483925	0.986323874944	1.0	0.999999999962	1.0	0.99999999998	0.999999999999
MA0072.1.RORA_2	1.0	0.84813240421	1.0	0.923874446137	0.999999999946	0.985061706746	0.81301665569	0.994064356479	0.999999999957	1.0	0.924736921601	0.937174832403
UP00087_2_Tcfap2c_secondary	0.0967527966179	0.450072695639	1.0	0.263951842969	0.645812712184	0.0143724255604	0.400096227521	0.698021441998	0.247117456229	1.0	0.58120500652	0.533601998818
UP00183_1_Hoxa13_3126.1	0.263928965741	0.854199109426	0.486978195992	0.771020914839	0.120314480388	0.940292392415	0.700981892443	0.707558156316	0.631628189398	0.379419215792	0.035538566876	0.0876295950488
UP00081_2_Mybl1_secondary	0.999999999999	0.117542700659	0.317038374141	0.736804937849	0.97794845912	0.108304472091	0.400096227521	0.839974946001	0.999999999965	1.0	0.999999999977	0.999999999996
UP00253_1_Rax_3443.1	0.999999999998	0.99999999994	1.0	1.0	0.999999999932	0.999999999717	1.0	1.0	0.999999999971	1.0	1.0	0.999999999993
MA0150.1.NFE2L2	0.14992915464	0.698435450604	0.496604388854	0.887451081868	0.76721417844	0.354113763783	0.0587554357758	0.583295100906	0.844897921586	0.999999999998	0.988133191268	1.0
UP00240_1_Cdx1_2245.1	0.401651822765	0.999999999901	0.631855622194	0.98000721823	0.997966005595	0.999999999896	0.91607971402	0.988838014847	0.992308521296	1.0	1.0	0.999999999997
UP00201_1_Emx2_3420.1	0.999999999999	0.786515052732	0.379157211458	1.0	0.999999999925	0.96281225658	0.374612095428	0.960904102424	0.99999999996	1.0	1.0	0.999999999987
UP00230_1_Dlx5_3419.2	1.0	0.73673103112	0.710621467857	0.736804937849	0.587604975121	0.646433130624	0.717900092694	0.297309576551	0.434220063526	1.0	1.0	0.999999999987
UP00168_1_Hoxd8_2644.1	1.0	0.999999999885	1.0	0.980602879667	0.999347063282	0.999999999567	1.0	0.999799252395	0.999999999982	0.999999999999	0.999999999994	1.0
UP00391_1_Hoxa3_primary	0.999999999993	0.962193785765	0.736971919304	0.937106008872	0.999999999923	0.995133672534	0.897711526638	0.913481577964	0.999999999981	0.999999999998	1.0	1.0
MA0148.1.FOXA1	0.681737138836	0.984577524057	0.587962742318	1.0	0.992268855561	0.997049110619	0.563307453637	0.999928590831	0.97894438678	0.379419215792	0.869389612893	0.981871183949
UP00182_1_Hoxa6_1040.1	0.782827816322	0.9994672843	0.999999999994	0.801344871943	0.984183683465	0.998850827914	0.993627852179	0.527063585898	0.960974747627	0.534209477193	0.95273847432	0.865107053095
UP00099_1_Ascl2_primary	0.576169490033	0.0110807484104	0.3338004676	0.802308252329	0.383894873306	0.00701296672073	0.296903717444	0.962837204326	0.999999999982	1.0	0.888443247656	0.865107053095
UP00235_1_Hoxc11_3718.2	0.99999999999	0.352589316295	0.379157211458	0.496489248972	0.964469207562	0.804756682921	0.6083061916	0.481438519527	0.11748496102	1.0	0.0301127580641	0.00612733874533
UP00080_1_Gata5_primary	1.0	0.938326772349	0.710621467857	0.877315293811	0.999999999944	0.947254405737	0.987568937433	0.998614075965	0.999999999957	1.0	1.0	0.999999999996
MA0006.1.Arnt::Ahr	3.45112477929e-20	9.04905201334e-60	3.87569591658e-11	6.25066148815e-48	8.95611659223e-99	4.82036252611e-115	1.81280564281e-36	1.46487771651e-142	9.63111931386e-49	2.22916053277e-06	1.74095475026e-33	3.35861708319e-19
UP00047_2_Zbtb7b_secondary	0.999999999989	0.0744008830297	0.533657856475	1.0	0.00854798194243	0.00390956706589	0.698061597091	0.770861077459	0.999999999966	1.0	1.0	1.0
UP00008_3_Six6_2267.4	1.0	0.967703771743	0.999999999998	1.0	0.647507366612	0.933879283228	1.0	0.984939165109	0.999999999983	1.0	0.999999999991	0.999999999996
UP00024_1_Glis2_primary	0.248724614744	0.999999999946	1.0	0.760750809511	0.187742262845	0.747909882814	1.0	0.65488437285	0.999999999971	1.0	1.0	1.0
UP00025_1_Foxk1_primary	1.0	0.999992677937	0.801899138998	0.996341262089	0.99582028694	0.999999256255	0.999883487191	0.998400765709	0.999999999978	0.999999999998	1.0	1.0
MA0161.1.NFIC	0.225261032837	0.110111007977	0.390909301589	0.0541413584751	0.305007535538	0.0108427880611	0.000123827159776	0.261839201552	0.965986778205	0.719986494632	0.75697201496	0.0118527531491
UP00248_1_Pax7_3783.1	1.0	1.0	1.0	0.999999999979	0.99815611357	0.999999999792	1.0	0.985956036644	0.999999999982	1.0	1.0	1.0
UP00107_1_Nkx2-4_3074.1	0.999999999996	0.484753580565	0.999999999994	1.0	0.987074376949	0.951974626464	1.0	0.990711756166	0.999999999958	0.999999999998	0.717424272757	0.434251741744
UP00089_3_Tcf1_2666.2	0.999999999998	0.999999999971	1.0	0.525938092225	0.947962319226	0.88716627009	0.923807302642	0.647489551188	0.99999999996	1.0	1.0	1.0
UP00050_2_Bhlhb2_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00406_1_Spdef_primary	0.248724614744	0.0521895863694	0.000314397108131	0.012154265407	0.00096073171358	0.00498933487305	0.0028775226931	0.00711573410829	0.0091329921764	0.173599003736	0.0150924242933	0.317020855856
UP00047_1_Zbtb7b_primary	0.999999999999	0.999999999954	1.0	1.0	0.416439910267	0.992973026653	0.952712120323	0.736584332955	0.836641386553	1.0	0.786593244121	0.999999999987
MA0061.1.NF-kappaB	0.999999999999	0.14117761337	0.736971919304	0.24711163657	0.408888453799	0.0492939015066	0.689075114666	0.424189572739	0.00918290321707	1.0	0.208805574681	0.736869423565
